Index,username,entry,date
0,rasseneur,insanların kesilip biçilip parçalanıp hunharca öldürülmelerini konu alan -boş- film türü. eğer kesilip biçilip parçalanıp hunharca öldürülme olayları gençler arasında dönüyorsa:(bkz: teen slasher),14.01.2011 21:10 ~ 21:12
1,lovehippi,"horror film kategorisine girer; thriller in ögelerini çoğunlukla içinde barındırır. piskopat bir katilin birden fazla kişiyi çoğunlukla aynı metodla ama kesinlikle vahşet içerecek şekilde öldürmesini konu alır. genellikle gerçek hayatta da olduğu gibi, bu ruh hastası gizemli seri katil arkadaşımız, kurbanlarını belli bir özelliğe göre tasnif edip cinayetlerine görsel şölen katmaktan da geri durmaz.",12.01.2013 17:13
2,revengeofthehorse,çekimlerinde kamera yerine les paul kasa gitar kullanılan film türü.,12.01.2013 17:16
3,gominist redar,korku filmi değildir.,12.01.2013 17:16
4,sierra leone,"bir filmde ""tür"" olarak belirtilmişse, o filmi direk eleyip izlememeye yol açan kategori. çok değil, sadece bir tane, tek bir tane iyi örneğini gösterene yüz bin lira veriyorum. edit: evet, dario argento da dahil anasını satem.",12.01.2013 17:32 ~ 18:16
5,yerli mal,"yani şimdi tabii... meraklısı için bi şey ifade eden bi kategoridir. geneli yetersiz oyunculuklar, zayıf senaryo ve tırt sahnelerle bezelidir. seveni için güzel bi eğlence kaynağıdır. neyse, ilgilenenler için şöyle bi liste verip kaçıyorum. gerçi ilgilenen şahıs bunların çoğunu izlemiştir:http://www.totalfilm.com/…-greatest-slasher-movies/",12.01.2013 17:56
6,kosnik,"bir insan grubunun diğer insanları kesip biçmesini konu alan film türüdür. the texas chainsaw massacre, hostel ve wrong turn bu film tarzına birkaç örnektir.",26.07.2017 16:09
7,bulutlvnt,amerigan gafası asmalı kesmeli filmler,24.05.2018 15:50
8,fasist ve kapitalist,"şurada istifade ettiğim bir rehber var: http://www.tefrika.co/…-iyi-50-slasher-korku-filmi/şurada da dün hasbelkader izlediğim slaughter high: https://www.youtube.com/watch?v=psycryr0r5wamerikan sineması için konuşursam çevrildiği yılların muhafazakar nüvelerini, hücrelerine dek şiddete cinnete gömülmüş bir sosyolojiyi gözlemlemek için izlediğim filmler. yoksa hususi meraklısı değilim. giallo'lu yetmişler baş tacıdır, iki binlerin avrupa sineması öncelikli tercihimdir.",19.10.2019 20:05 ~ 20:09
9,orukayu,"bir psikopat katilin teker teker insanları öldürmesi tarzındaki filmlerin genel adıdır.friday 13, halloween, scream, ı know what you did last summer, a nightmare on elm street, high tension gibi filmler bu tarzın önemli temsilcileridir.katilimiz herkesi tek tek öldürür. ölenlerin ortadan kaybolması nedense kimsenin dikkatini çekmez. ayrıca katilin kim olduğu konusunda iyice bir karmaşa yaratılır. sona kalan kişi hangi deliğe girse ölen arkadaşının cesedini görür. içinde bir dünya klişe barındırır. mesela; katil ölmek bilmez, son kurbana kadar herkesi kaçırmadan öldüren katil, son kurbanı bir türlü öldüremez. koşarak kaçan kişi yürüyerek kovalanır ve yakalanır. ormanın içinde kaçan kurban bir türlü saklanamaz. arabaların marşı bir türlü basmaz. araba çalışırsa da bu sefer önüne birisi çıkar ve ağaca toslanır v.s.büyük ekranda arkadaş grubuyla izlemek keyiflidir.",06.06.2020 23:41
10,olabilecek,"en büyük keyfim. sıçmaktan da keyif alıyorum ama yok ya, slasher.",06.09.2020 15:58
11,retro sokagi mudavimi,izlemekten kendimi alamadığım aşırı sarıcı tür. ama yenilerden pek bir şey bulamıyorum. yok mu şöyle önerilecek teen slasher.,06.09.2020 16:08
12,treintaydos,(bkz: a l'interieur),20.05.2021 02:13
13,yarrocan,"psikopat bir katilin kurbanlarının peşinde dolanarak onları hunharca öldürdüğü psikolojik korku filmlerine verilen isim, özellikle bir dönem* bolca çekilmiştir. gençleri hedef alan bir alt türüne de teen slasher deniliyor, ki o türü de kilolu-gözlüklü arkadaştan başlayıp, güzel-sarışın-aptal kızla devam eden bir dizi cinayetler ve birbirinin aynısı filmlerden oluşuyordu. şöyle bir düşünürsek scream ve friday the 13th bu türün bol devam filmli en bilinen örnekleridir.",13.02.2022 03:41
14,mftaslan,"bazı tavsiyeler(bkz: madman)(bkz: sleepaway camp)(bkz: the texas chainsaw massacre)(bkz: maniac)(bkz: the bunny game)(bkz: tourist trap)(bkz: puppet master)(bkz: stagefright)(bkz: happy birthday to me)(bkz: alice, sweet alice)",20.07.2022 01:16
15,savitri devi,slasher izlemekten en cok keyif aldigim film kategorisi kesinlikle. bu turu sevdiren film de scream'dir. ilginc sekilde iyi kotu her slasher filminden bir sekilde zevk almayi basariyorum.,29.08.2022 13:10 ~ 13:12
16,1coder,bu tür filmleri izlemekten gerçekten keyif alıyorsanız kesinlikle doktora gitmeli ve profesyonel bir destek almalısınız. keza ben de gitmeyi düşünüyorum.edit: film tavsiyesi için yeşillendirin.,05.02.2023 22:31 ~ 22:33
17,bus guitarist,korku filmi yerine suç/gerilim kategorisinde gösterilmesi gereken filmler.,01.09.2023 19:50 ~ 19:51
